location,month,year,ages,total,positive,xcoord,ycoord,prev,time_order_loc
mordor,1,2020,15_above,22,4,-20.25495,29.38997,0.181818182,25
mordor,9,2019,5_to_14,34,6,-20.47055,29.43265,0.176470588,21
mordor,1,2019,15_above,36,7,-19.70804,30.49507,0.194444444,13
mordor,6,2018,5_to_14,32,7,-19.84918,30.14912,0.21875,6
mordor,4,2019,15_above,36,8,-20.14803,30.60721,0.222222222,16
mordor,7,2020,15_above,34,8,-19.3151,29.7129,0.235294118,31
mordor,2,2019,5_to_14,38,8,-19.8158,30.02856,0.210526316,14
mordor,5,2020,5_to_14,31,8,-19.7391,29.33239,0.258064516,29
mordor,12,2019,15_above,53,9,-19.3716,29.86511,0.169811321,24
mordor,5,2020,15_above,57,9,-20.06321,29.30329,0.157894737,29
mordor,1,2019,5_to_14,46,9,-20.79217,29.23666,0.195652174,13
mordor,11,2020,15_above,34,10,-20.27879,30.34326,0.294117647,35
mordor,1,2018,5_to_14,36,10,-20.27911,30.22682,0.277777778,1
mordor,8,2019,5_to_14,42,10,-20.2782,30.18365,0.238095238,20
mordor,9,2020,5_to_14,38,10,-20.08695,30.30441,0.263157895,33
mordor,9,2020,15_above,48,11,-20.441,29.33431,0.229166667,33
mordor,4,2018,5_to_14,44,11,-20.15528,30.30922,0.25,4
mordor,5,2018,5_to_14,31,11,-19.42436,30.2873,0.35483871,5
mordor,4,2019,5_to_14,32,11,-20.93372,29.92412,0.34375,16
mordor,5,2019,5_to_14,42,11,-20.31551,30.54282,0.261904762,17
mordor,12,2019,5_to_14,40,11,-20.12011,30.35644,0.275,24
mordor,3,2020,5_to_14,33,11,-20.92858,29.5714,0.333333333,27
mordor,10,2019,5_to_14,49,12,-20.81757,30.10545,0.244897959,22
mordor,11,2019,5_to_14,48,12,-20.19352,29.89238,0.25,23
mordor,11,2020,5_to_14,41,12,-19.43875,30.58849,0.292682927,35
mordor,5,2020,under_5,63,12,-19.3641,30.34729,0.19047619,29
mordor,3,2020,15_above,59,13,-19.87201,29.96888,0.220338983,27
mordor,6,2019,15_above,50,14,-19.42774,29.92109,0.28,18
mordor,2,2020,15_above,58,14,-20.19779,29.67305,0.24137931,26
mordor,2,2018,5_to_14,47,14,-20.4432,30.39559,0.29787234,2
mordor,6,2020,15_above,49,15,-19.89331,30.3563,0.306122449,30
mordor,7,2018,5_to_14,48,15,-20.67828,30.55464,0.3125,7
mordor,8,2018,5_to_14,46,15,-20.03986,31.06112,0.326086957,8
mordor,6,2019,5_to_14,40,15,-20.02176,29.24644,0.375,18
mordor,1,2020,5_to_14,45,15,-20.79865,29.75225,0.333333333,25
mordor,4,2020,5_to_14,38,15,-20.16249,30.08108,0.394736842,28
mordor,3,2019,15_above,65,16,-20.74262,30.86925,0.246153846,15
mordor,9,2018,5_to_14,42,16,-19.99724,30.07025,0.380952381,9
mordor,3,2019,5_to_14,41,16,-19.42368,30.85116,0.390243902,15
mordor,6,2020,5_to_14,41,16,-19.31993,30.26579,0.390243902,30
mordor,7,2020,5_to_14,48,16,-20.68419,29.94052,0.333333333,31
mordor,7,2019,15_above,67,17,-19.98399,30.47475,0.253731343,19
mordor,7,2018,15_above,85,18,-20.38698,29.49599,0.211764706,7
mordor,4,2020,15_above,59,18,-20.28951,30.46528,0.305084746,28
